customer_id,first_name,last_name,email,phone,date_of_birth,address,city,state,zip_code,country,customer_segment,account_status,account_open_date,created_at
CUST_000001,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,1960-03-10,"26542 Susan Junction Apt. 161, Melanieview, AS 06196",Herrerafurt,Colorado,72858,US,Basic,Inactive,2023-09-05,2026-03-10 09:14:45.279876
CUST_000002,Maria,Montgomery,barbara10@example.net,441.731.6475,1969-05-13,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",East Robinshire,Virginia,41746,US,Premium,Active,2022-12-29,2026-03-10 09:14:45.280372
CUST_000003,Diana,Foster,ithomas@example.org,001-388-249-6965x3287,2003-10-14,"691 James Mountain, Tashatown, TX 94967",Lake Nicoleview,Wyoming,84513,US,Basic,Inactive,2024-01-29,2026-03-10 09:14:45.280763
CUST_000004,Daniel,Graham,usmith@example.net,282-781-4893x252,1978-06-09,"3039 Christopher Oval Apt. 822, Arroyoburgh, KS 69664",Brandtside,Wisconsin,96174,US,Premium,Active,2022-11-23,2026-03-10 09:14:45.281137
CUST_000005,Jennifer,Ross,samuel87@example.org,531.250.9839,1950-01-07,"10518 Joshua Oval, New David, FM 75348",Sanchezfort,Nebraska,25458,US,Basic,Active,2021-12-27,2026-03-10 09:14:45.281475
CUST_000006,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,1962-03-09,"8108 Tanya Terrace, East Richard, NJ 28517",Barreraburgh,Missouri,00783,US,Basic,Active,2024-07-03,2026-03-10 09:14:45.281853
CUST_000007,Joseph,Bowers,smitchell@example.net,+1-272-734-3098,1949-01-28,"820 Melissa Cliff Apt. 361, New Brooke, RI 11246",Sandovalshire,North Dakota,41968,US,Basic,Active,2023-05-28,2026-03-10 09:14:45.282197
CUST_000008,James,Moran,josephanderson@example.net,675-410-7991x1838,1968-12-08,"4278 Carr Valley, Lake Lisaport, TN 14078",West Darrell,Connecticut,97811,US,Premium,Inactive,2025-11-21,2026-03-10 09:14:45.282568
CUST_000009,Eric,Campbell,jenniferharris@example.net,687-440-1640x052,1995-08-18,"011 Amy Village Suite 982, Andersonport, MN 05730",Jasonbury,Texas,13974,US,Basic,Active,2024-03-11,2026-03-10 09:14:45.282958
CUST_000010,Kimberly,Henson,vdickson@example.org,622.460.2563,1998-10-08,"73375 Hoover Well Apt. 303, Murphyland, WI 37086",Darlenefurt,Utah,70783,US,Premium,Active,2024-01-01,2026-03-10 09:14:45.283309
CUST_000011,Sheila,Wilson,gregory40@example.org,+1-265-856-9816x934,1945-04-21,"6159 Alvarado Crossing, Williamchester, MD 53244",Angelaborough,Nebraska,87654,US,Standard,Active,2024-05-29,2026-03-10 09:14:45.283646
CUST_000012,Erica,Orr,richard04@example.com,969.495.7773,1990-01-08,"34332 Brandon Mountains Apt. 769, Lake Heather, NM 52884",East Diana,Alabama,98931,US,Standard,Inactive,2022-02-03,2026-03-10 09:14:45.283964
CUST_000013,Kimberly,Robinson,pwilliams@example.org,927.488.9579x868,1995-10-17,"3487 Joshua Club Suite 345, Patricialand, DC 20270",South Heather,Virginia,28544,US,Premium,Active,2021-09-24,2026-03-10 09:14:45.284294
